Fecha,C (L/min)
2019-09-15,29.549084566963625
2019-09-24,25.759992855578425
2019-09-29,26.18862149305965
2019-10-11,24.515523549980966
2019-10-29,29.516150539522386
2019-11-04,22.30618223050368
2019-11-10,18.73691554252699
2019-11-19,17.147825222549944
2019-11-27,16.521409935310977
2019-12-04,16.09110969530367
2019-12-17,15.262788642866642
2019-12-24,14.205492368188468
2019-12-31,13.25794959625073
2020-01-07,11.425386943679628
2020-01-14,13.170441886235286
2020-01-21,11.937544649374367
2020-01-29,9.81454875642474
2020-02-04,11.580434782608696
2020-02-11,12.5
2020-02-18,11.999999999999996
2020-03-03,12.550000000000004
2020-03-11,11.26666666666667
2020-03-19,10.65
2020-03-25,13.76666666666667
2020-04-01,10.166666666666666
2020-04-15,11.424999999999999
2020-04-29,13.300000000000002
2020-05-14,15.0
2020-05-27,14.399999999999999
2020-06-13,20.925
2020-06-25,38.66666666666667
2020-07-15,31.200000000000003
2020-08-01,27.7
