fid,Nombre,lon,lat
"1",Baroa Bajo,-73.1290222222944,-36.7187305560144
"3",El Chilco,-73.1174805564784,-36.7106694441633
"2",Los Cipreses,-73.1320638894894,-36.7135055557197
"4",28 de Octubre Cerro Cornou,-73.1183972217917,-36.7104249997605
"5",San Juan Tumbes,-73.098386111455,-36.6443333330084
"7",Pino Huacho,-73.121782622124,-36.6897183959184
"6",Estrella Azul,-73.1211910952443,-36.6954745277761
