Fecha,C (L/min)
2020-01-05,6.264955459650487
2020-01-17,6.305732484076435
2020-02-01,5.6
2020-02-14,5.6
2020-03-02,5.499999999999998
2020-03-20,5.399999999999999
2020-04-02,5.700000000000002
2020-04-16,4.799999999999998
2020-04-30,5.000000000000002
2020-05-14,5.2
2020-05-28,5.2
2020-06-11,5.300000000000002
2020-06-25,6.799999999999998
2020-07-15,7.599999999999999
2020-08-03,8.999999999999996
